,text,sentiment
0, bl theke apnader sathe sorasori kotha bolbo plz nomber me. ,0.0
1, Achcha amar gp sim ta off na on ei ta dekar code ta koto? ,0.0
2, 5 tk 500 mb dial *5000*150# offer ta koto din porjonto thakbe? ,0.0
3, gp te 78 takar recharge ki hobe ,0.0
4, gp te advance balance die mb kina jai na kn? bl ar onno sob sim e advance balance die mb kina jai..apnara advance diben tarpor amra ja khushi ta krbo..sudhu ktha bola ar message e pathano jai..disgusting..gp calanoi off koira dite hobe dekha jai.. ,2.0
5, aj sokale amar sim e ekta message asce j 9 takai 1 gb kre 5 bar pabo.... bt 9 tk recharge krte gele deki 9 tk recharge hocce na,2.0
6, 350 takar bitor a ki kono valo offer asa....mb ,0.0
7,Jani apnara kisu korte parben na.sudu bolben dukkito.gp number sobai jane tai chalate hoy.ami month a 3000 takar kotha bli.kisu blar nai. ,2.0
8, Assalamualaikum..amar akta postpaid sim achey jeta registration kori hoi ni.akhon ki ami sim ta registration korte parbo?? ,0.0
9, eta to onek din thekei bolteche..kobe r tik hobe..taratari koren? ,2.0
10,Apni je kono akta offer avail korte parben. ,0.0
11, amke to janano hoy na ,0.0
12,Dukkhito  .  amader ekhon ei dhoroner kono regular offer nei.,0.0
13,Amader ei offer 48 hour er moddhe pawa jabe. ,0.0
14, ki boli ar apni ki ans den...? ,0.0
15,Amader night package gulo hocche.,0.0
16, @???? .  dukkhito .  amader emon kono regular offer chalu nei. Tobe apni SMS pele sheta onushoron kore offer ti nite parben. ,0.0
17, @???? .  dukkhito .  eta amader kono regular offer na. Tobe apni SMS pele sheta follow kore offer ti nite parben. ,0.0
18, @Arian .  dukkhito .  amader bondho SIM e emon kono offer chalu nei. 9Tk te 1GB offer ti shudhu notun SIM er jonno projojjo. ,0.0
19, Bolen plz bondo sim a tho takar kota ,0.0
20,Apnar number ti ei offer er jonno eligible kina jante OctSpace017XXXXXXXX likhe pat ,0.0
21, 34 taka reacharge 1 gb koto bar nite parbo?? ,0.0
22,  mas ar jono kinbo ke vaba? ,0.0
23, @Sadi Khan .  Amader ei game box service ti bondho korar jonno onugroho kore nicher link ti visit korun httpappsclub.grameenphone.comstore . Ei link e gie account e click korle apni apnar ei service ti bondho kore nite parben. ,0.0
24, @Mrst Bananee .  Apnar valuable motamot ti amader sathe share korar jonno onshonkho dhonnobad. Apnar feedback ti duly note kora hoyeche. ,0.0
25,28 days er facebook pack kinte apnar charge hobe tk18.26including VAT . SD . SC.Pack ti nite o balance jante *121# dial kore poroborti instruction follow korun. ,0.0
26, emn ajob qstn er kono mane hoy na ,2.0
27, kintu ami new sim a 20 tk palam....pls ami ki offer ti pabo? ,0.0
28, Flexiplan thekee ..amr taka diye ki kaw k sms gift korte parboo...?? ,0.0
29, amr gp sim ta fon e lagiye on krle bar bar shudhu fon restart ney. Ki krte pari blben ki? ,0.0
30, Ami nibo but tar age ami detels jante chai sat ti somporke. Jodi bolen? ,0.0
31, Amr ekta gp post paid sim xplore special ase . ajke dekhi sim er connection nai..maybe payment na korar jonno emn hoilo.. Sim ta abar ager moto active kora jay kivabe ?? ,0.0
32, @Asif Mirza . Amader product ebong service related kono query thakle kindly ta amader sathe share korle asha korchi sothik feedback dite parbo. ,0.0
33,Amader sokol bortoman offer jnate please amader website visit korun othoba apnar number er special offer ache kina jante please dial korun *121# ,0.0
34,1. Website jodi nirdisto kono website e problem hoye thake,0.0
35, dosto amaro akei problem .  mb pack gulo ato rate call rate aro baje . vabsi gp sim e r use korbo na ,2.0
36, night pack er dam bara ta khub kharap holo ,2.0
37, Apnader special offer amader kache special na......gp sim to girlfriend er moto hoye gecha.....atto sms....kintu aktau kaje dai na ,2.0
38,Amader bortomane ekti special number er campaign cholche. ,0.0
39, amar sim Amar frinds er name ri rejiston korechi oi sim o jaliati koira utaice ekon ami ki korte pari ,0.0
40, dine to hazar ta sms den .  AMONTRON package ta off kore disen oita user der update kora uchit chilo ki na? ,2.0
41, ami new sim a 5gb free pabo pelam prothom 1gb akhon koto din por koi tk recharge korle 1gb pabo please ans? ,0.0
42, Vaiya wowbox a 2gb internet er price jodi aro komai dito tahole aro valo hoto ,0.0
43, amra protidin internet chalai tahola amader jonno ki offer asa bola jaba ,0.0
